% This data set addresses a control problem, namely flying a F16
% aircraft. The attributes describe the status of the aeroplane, while
% the goal is to predict the control action on the ailerons of the
% aircraft.
% 
% Characteristics: (7154+6596) cases, 41 continuous attributes 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Experiments of Rui Camacho (rcamacho@garfield.fe.up.pt)
@relation ailerons
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curPitch numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SeTime1 numeric
@attribute SeTime2 numeric
@attribute SeTime3 numeric
@attribute SeTime4 numeric
@attribute SeTime5 numeric
@attribute SeTime6 numeric
@attribute SeTime7 numeric
@attribute SeTime8 numeric
@attribute SeTime9 numeric
@attribute SeTime10 numeric
@attribute SeTime11 numeric
@attribute SeTime12 numeric
@attribute SeTime13 numeric
@attribute SeTime14 numeric
@attribute diffSeTime1 numeric
@attribute diffSeTime2 numeric
@attribute diffSeTime3 numeric
@attribute diffSeTime4 numeric
@attribute diffSeTime5 numeric
@attribute diffSeTime6 numeric
@attribute diffSeTime7 numeric
@attribute diffSeTime8 numeric
@attribute diffSeTime9 numeric
@attribute diffSeTime10 numeric
@attribute diffSeTime11 numeric
@attribute diffSeTime12 numeric
@attribute diffSeTime13 numeric
@attribute diffSeTime14 numeric
@attribute alpha numeric
@attribute Se numeric
@attribute class {<=-0.0014,(-0.0014;-0.0011],(-0.0011;-0.001],(-0.001;-0.0008],(-0.0008;-0.0007],(-0.0007;-0.0006],(-0.0006;-0.0006],(-0.0006;-0.0005],>-0.0005}

@data
-332.0,-2.0,-0.11,0.12,0.98,0.8,-11.0,-8.0,-0.004,-0.1,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
214.0,-23.0,0.45,0.02,0.32,-0.9,-12.0,4.0,0.021,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
197.0,-16.0,0.13,-0.04,0.33,-0.6,-13.0,7.0,0.014,0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-310.0,-27.0,-0.28,0.0,0.8,0.8,-11.0,3.0,-0.001,0.4,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-218.0,-26.0,-0.24,0.23,0.81,-0.4,-18.0,-11.0,-0.008,0.4,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.001,0.0,0.6,0.022,(-0.0011;-0.001]
25.0,-45.0,-0.13,0.13,0.54,0.1,-18.0,1.0,-0.009,0.2,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.002,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-598.0,6.0,-0.13,0.06,1.06,0.7,-17.0,9.0,-0.01,-0.6,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-225.0,-22.0,-0.58,0.18,0.77,1.0,-17.0,-7.0,-0.026,0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,-0.002,0.0,0.6,0.021,(-0.0011;-0.001]
-707.0,9.0,-0.35,0.18,1.21,0.7,-17.0,-7.0,-0.016,-0.5,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.0,0.0,-0.002,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-202.0,3.0,-0.64,0.12,0.74,-0.2,-18.0,-4.0,-0.005,-0.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.6,0.019,(-0.0011;-0.001]
4.0,-4.0,-0.25,0.08,0.51,-1.9,-20.0,9.0,0.02,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-198.0,-12.0,0.13,0.17,1.1,-1.4,-16.0,-4.0,0.003,-0.1,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.032,(-0.0011;-0.001]
-291.0,-23.0,-0.47,0.17,1.16,0.8,-14.0,-9.0,0.001,-0.2,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.031,(-0.0011;-0.001]
295.0,-59.0,-0.2,0.05,0.42,0.5,-15.0,4.0,-0.002,-0.1,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,(-0.0011;-0.001]
-222.0,-47.0,-0.24,-0.17,0.79,-1.1,-16.0,20.0,0.023,0.6,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.019,(-0.0011;-0.001]
-301.0,29.0,-0.14,0.19,0.95,-0.3,-15.0,-10.0,0.002,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
-117.0,-21.0,-0.44,0.05,0.69,-0.5,-15.0,10.0,-0.015,-1.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-72.0,7.0,-0.19,0.12,0.63,1.6,-14.0,-4.0,-0.026,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
80.0,-15.0,0.14,0.21,0.57,-2.3,-17.0,-7.0,0.024,-0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.7,0.023,(-0.0011;-0.001]
470.0,-90.0,-0.05,-0.16,0.05,0.2,-15.0,26.0,0.007,-0.1,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.016,(-0.0011;-0.001]
10.0,1.0,-0.09,0.27,0.65,0.2,-15.0,-19.0,-0.003,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
89.0,-14.0,0.55,0.05,0.44,-2.0,-18.0,10.0,0.01,-0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-231.0,18.0,-0.08,0.21,0.83,1.0,-14.0,-15.0,0.003,-0.1,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.023,(-0.0011;-0.001]
504.0,-12.0,0.16,0.27,0.11,0.3,-15.0,1.0,0.008,-3.7,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
-10.0,8.0,0.17,0.45,0.67,1.1,-14.0,-24.0,-0.009,-2.7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.025,(-0.0011;-0.001]
-151.0,-16.0,-0.05,-0.24,0.57,0.1,-15.0,26.0,0.019,2.6,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.015,(-0.0011;-0.001]
43.0,35.0,-0.23,0.22,0.56,0.7,-14.0,-16.0,-0.009,0.0,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,(-0.0011;-0.001]
-198.0,20.0,0.11,0.13,0.74,-1.1,-16.0,-4.0,0.016,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-414.0,50.0,0.35,0.05,0.95,0.4,-15.0,-13.0,0.009,4.9,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
142.0,-83.0,-0.45,0.01,0.4,0.6,-17.0,10.0,0.004,0.7,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
518.0,-39.0,-0.07,0.2,0.08,-0.6,-18.0,10.0,-0.001,-2.1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001,0.0,0.6,0.021,(-0.0011;-0.001]
315.0,-17.0,-0.32,0.27,0.36,0.7,-17.0,-11.0,-0.008,-1.9,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
-512.0,-8.0,-0.44,0.18,1.14,1.5,-16.0,-7.0,-0.014,0.2,0.021,0.021,0.021,0.021,0.021,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
56.0,-24.0,0.22,0.26,0.54,0.9,-11.0,-14.0,-0.009,-2.4,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,(-0.0011;-0.001]
-148.0,3.0,0.15,0.07,0.67,0.5,-12.0,-3.0,0.002,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
-316.0,-17.0,0.2,0.03,0.82,-0.4,-11.0,3.0,0.009,0.1,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
252.0,-3.0,0.12,0.27,0.41,1.0,-11.0,-30.0,-0.018,0.3,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.023,(-0.0011;-0.001]
370.0,7.0,0.22,0.15,0.25,0.4,-11.0,-14.0,-0.007,0.3,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
-170.0,9.0,0.22,0.14,0.72,0.4,-12.0,-11.0,-0.004,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
83.0,-14.0,0.05,0.06,0.45,-0.8,-13.0,0.0,0.012,0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
194.0,-41.0,-0.35,0.06,0.36,1.7,-14.0,2.0,-0.014,0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
-157.0,-40.0,0.32,0.01,0.65,-0.5,-12.0,6.0,0.01,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
336.0,8.0,0.21,0.08,0.27,-0.9,-12.0,-4.0,0.011,-0.2,0.022,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
564.0,-11.0,0.2,0.08,0.03,0.5,-12.0,-7.0,-0.003,0.3,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,(-0.0011;-0.001]
35.0,11.0,-0.14,0.3,0.59,0.8,-11.0,-28.0,-0.02,0.0,0.02,0.02,0.02,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,-0.003,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.023,(-0.0011;-0.001]
-176.0,-41.0,-0.03,0.08,0.66,0.7,-6.0,-1.0,-0.039,-1.6,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
174.0,-61.0,0.14,0.15,0.4,0.6,-15.0,-3.0,0.007,-0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-9.0,-50.0,0.1,-0.04,0.61,1.5,-9.0,7.0,0.001,-0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
-211.0,-19.0,0.41,0.07,0.88,0.2,-11.0,-9.0,-0.005,0.6,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
-331.0,-7.0,0.23,0.27,1.14,-1.8,-13.0,-21.0,0.013,0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.024,0.024,0.027,0.027,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,-0.003,0.0,-0.004,0.0,0.0,0.0,0.8,0.03,(-0.0011;-0.001]
-49.0,-5.0,-0.19,-0.03,0.76,1.7,-9.0,4.0,-0.027,0.2,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.025,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.7,0.025,(-0.0011;-0.001]
-382.0,7.0,-0.52,0.1,1.23,0.1,-11.0,-14.0,-0.019,1.4,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.8,0.03,(-0.0011;-0.001]
172.0,-32.0,0.09,-0.17,0.52,-1.6,-13.0,22.0,0.024,0.0,0.025,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,(-0.0011;-0.001]
-38.0,-70.0,-0.19,-0.19,0.84,-0.3,-11.0,20.0,-0.016,0.4,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.027,(-0.0011;-0.001]
174.0,-12.0,-0.37,0.2,0.85,-0.5,-11.0,-12.0,-0.005,-0.2,0.036,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.038,(-0.0011;-0.001]
-188.0,-42.0,-0.48,0.11,0.87,2.2,-16.0,4.0,-0.006,-0.5,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.001,0.0,0.7,0.025,(-0.0011;-0.001]
-237.0,-52.0,-0.49,-0.06,0.83,-0.4,-18.0,16.0,0.007,2.5,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,(-0.0011;-0.001]
-223.0,-27.0,-0.48,0.22,0.93,1.2,-17.0,-13.0,-0.006,0.5,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.001,0.0,0.7,0.026,(-0.0011;-0.001]
311.0,-28.0,-0.34,0.12,0.34,0.4,-18.0,2.0,-0.018,0.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.0,0.0,-0.001,0.0,-0.001,0.0,-0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.6,0.023,(-0.0011;-0.001]
88.0,-34.0,0.32,0.03,0.52,0.3,-11.0,2.0,-0.004,0.0,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,(-0.0011;-0.001]
-170.0,-42.0,0.2,0.0,0.65,0.7,-6.0,2.0,-0.008,0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
-115.0,-47.0,-0.28,-0.06,0.86,0.6,-17.0,17.0,0.002,0.5,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,(-0.0011;-0.001]
-65.0,12.0,-0.33,0.13,0.83,-0.6,-18.0,3.0,0.013,0.7,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.028,(-0.0011;-0.001]
550.0,1.0,-0.5,0.13,0.4,0.9,-12.0,-4.0,-0.01,-0.4,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.039,0.039,0.038,0.038,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.0,1.0,0.037,(-0.0011;-0.001]
-296.0,-37.0,0.19,0.12,0.83,-0.2,-12.0,-11.0,-0.017,0.0,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
2.0,31.0,-0.49,0.24,1.02,-0.5,-13.0,-15.0,-0.013,0.1,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.001,0.0,-0.001,0.0,1.0,0.037,(-0.0011;-0.001]
286.0,32.0,0.31,0.32,0.37,0.3,-12.0,-28.0,-0.013,-1.5,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.023,(-0.0011;-0.001]
503.0,15.0,0.21,0.01,0.05,-0.5,-12.0,6.0,0.013,0.0,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
72.0,33.0,0.16,0.25,0.83,-1.8,-15.0,-14.0,0.009,-0.2,0.03,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,-0.002,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.033,(-0.0011;-0.001]
170.0,-6.0,0.09,0.02,0.56,-3.0,-16.0,10.0,0.02,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,(-0.0011;-0.001]
-114.0,38.0,0.25,0.14,0.66,-0.4,-12.0,-9.0,0.003,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
-452.0,-2.0,0.14,-0.13,0.93,0.5,-11.0,-4.0,-0.006,5.5,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,(-0.0011;-0.001]
43.0,-20.0,0.4,0.1,0.52,0.4,-12.0,-10.0,-0.005,1.2,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.02,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.6,0.02,(-0.0011;-0.001]
