% 
@relation 'abalone'
@attribute Sex {M,F,I}
@attribute Length {<=0.405,(0.405;0.485],(0.485;0.545],(0.545;0.59],(0.59;0.635],>0.635}
@attribute Diameter {<=0.305,(0.305;0.375],(0.375;0.425],(0.425;0.465],(0.465;0.5],>0.5}
@attribute Height {<=0.1,(0.1;0.125],(0.125;0.14],(0.14;0.16],(0.16;0.175],>0.175}
@attribute Whole {<=0.3105,(0.3105;0.5565],(0.5565;0.7995],(0.7995;1.0295],(1.0295;1.3025],>1.3025}
@attribute Shucked {<=0.1325,(0.1325;0.2355],(0.2355;0.336],(0.336;0.445],(0.445;0.5755],>0.5755}
@attribute Viscera {<=0.064,(0.064;0.119],(0.119;0.1705],(0.1705;0.222],(0.222;0.2905],>0.2905}
@attribute Shell {<=0.093,(0.093;0.165],(0.165;0.2335],(0.2335;0.294],(0.294;0.37],>0.37}
@attribute class {<=7.0,(7.0;9.0],(9.0;10.0],(10.0;12.0],>12.0}

@data
F,(0.405;0.485],<=0.305,(0.125;0.14],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,<=0.405,<=0.305,(0.14;0.16],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,<=0.405,<=0.305,(0.125;0.14],<=0.3105,<=0.1325,(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,<=0.405,(0.305;0.375],(0.1;0.125],<=0.3105,<=0.1325,(0.064;0.119],(0.093;0.165],(9.0;10.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,<=0.3105,<=0.1325,<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.119;0.1705],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,<=0.3105,<=0.1325,<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,<=0.405,<=0.305,(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,<=0.405,(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.119;0.1705],(0.093;0.165],<=7.0
I,<=0.405,<=0.305,<=0.1,<=0.3105,<=0.1325,(0.064;0.119],(0.093;0.165],<=7.0
M,<=0.405,(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],<=0.305,(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.336;0.445],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],<=0.305,<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,<=0.405,<=0.305,(0.1;0.125],(0.3105;0.5565],<=0.1325,<=0.064,(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,<=0.405,<=0.305,<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
M,<=0.405,(0.305;0.375],(0.1;0.125],<=0.3105,<=0.1325,<=0.064,(0.093;0.165],(9.0;10.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],<=0.3105,<=0.1325,<=0.064,(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.119;0.1705],(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,<=0.405,(0.305;0.375],<=0.1,<=0.3105,<=0.1325,<=0.064,(0.093;0.165],(10.0;12.0]
F,<=0.405,(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
I,<=0.405,<=0.305,<=0.1,<=0.3105,<=0.1325,<=0.064,(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,<=0.3105,<=0.1325,<=0.064,(0.093;0.165],<=7.0
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(9.0;10.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,<=0.064,(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,<=0.405,(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],>12.0
M,<=0.405,<=0.305,(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],<=0.1325,<=0.064,(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.119;0.1705],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
M,(0.485;0.545],(0.375;0.425],(0.125;0.14],(0.5565;0.7995],(0.336;0.445],(0.119;0.1705],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,<=0.405,(0.305;0.375],(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
F,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],>12.0
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],<=0.3105,<=0.1325,<=0.064,(0.093;0.165],(10.0;12.0]
M,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],>12.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],<=0.305,<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
M,(0.405;0.485],(0.305;0.375],(0.125;0.14],(0.3105;0.5565],(0.1325;0.2355],(0.119;0.1705],(0.093;0.165],(7.0;9.0]
F,<=0.405,(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.119;0.1705],(0.093;0.165],(9.0;10.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.375;0.425],(0.1;0.125],(0.5565;0.7995],(0.2355;0.336],(0.119;0.1705],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],<=0.1,(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,<=0.405,<=0.305,(0.1;0.125],(0.3105;0.5565],<=0.1325,(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.5565;0.7995],(0.2355;0.336],(0.119;0.1705],(0.093;0.165],<=7.0
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(10.0;12.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
F,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(9.0;10.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],<=7.0
I,(0.405;0.485],(0.425;0.465],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
M,(0.545;0.59],(0.425;0.465],(0.1;0.125],(0.7995;1.0295],(0.445;0.5755],(0.1705;0.222],(0.093;0.165],(9.0;10.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
M,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.1325;0.2355],(0.064;0.119],(0.093;0.165],(7.0;9.0]
I,(0.405;0.485],(0.305;0.375],(0.1;0.125],(0.3105;0.5565],(0.2355;0.336],(0.064;0.119],(0.093;0.165],<=7.0
